Firstname,Lastname,Contact Number,Date of Birth,Status,Start Date,Classroom,Start Year,End Year,Guardian Name,Guardian Relationship,Guardian Contact Number,Guardian Email,Guardian 2 Name,Guardian 2 Relationship,Guardian 2 Contact Number,Guardian 2 Email,Biography,Home Address
Learner,1,123456789,1990/01/01,Active,1994/01/01,Classroom 1 Nagar,2015,2016,Rahul,Father,789456123,abc@xyz.com,Neha,Mother,741258963,xyz@abc.com,,Delhi
Learner,2,123456790,1990/01/02,Active,1994/01/02,Classroom 1 Nagar,2015,2016,Rahul,Father,789456124,abc1@xyz.com,Neha,Mother,741258964,,,Delhi
Learner,3,123456791,1990/01/03,Active,1994/01/03,Classroom 1 Nagar,2015,2016,Rahul,Father,789456125,abc2@xyz.com,Neha,Mother,741258965,,,Delhi
Learner,4,123456792,1990/01/04,Active,1994/01/04,Classroom 1 Nagar,2015,2016,Rahul,Father,789456126,abc3@xyz.com,Neha,Mother,741258966,,,Delhi
Learner,5,123456793,1990/01/05,Active,1994/01/05,Classroom 1 Nagar,2015,2016,Rahul,Father,789456127,abc4@xyz.com,Neha,Mother,741258967,,,Delhi
Learner,6,123456794,1990/01/06,Active,1994/01/06,Classroom 1 Nagar,2015,2016,Rahul,Father,789456128,abc5@xyz.com,Neha,Mother,741258968,,,Delhi
Learner,7,123456795,1990/01/07,Active,1994/01/07,Classroom 1 Nagar,2015,2016,Rahul,Father,789456129,abc6@xyz.com,Neha,Mother,741258969,,,Delhi
Learner,8,123456796,1990/01/08,Active,1994/01/08,Classroom 1 Nagar,2015,2016,Rahul,Father,789456130,abc7@xyz.com,Neha,Mother,741258970,,,Delhi
Learner,9,123456797,1990/01/09,Active,1994/01/09,Classroom 1 Nagar,2015,2016,Rahul,Father,789456131,abc8@xyz.com,Neha,Mother,741258971,,,Delhi
Learner,10,123456798,1990/01/10,Active,1994/01/10,Classroom 1 Nagar,2015,2016,Rahul,Father,789456132,abc9@xyz.com,Neha,Mother,741258972,,,Delhi
Learner,11,123456799,1990/01/11,Active,1994/01/11,Classroom 1 Nagar,2015,2016,Rahul,Father,789456133,abc10@xyz.com,Neha,Mother,741258973,,,Delhi
Learner,12,123456800,1990/01/12,Active,1994/01/12,Classroom 1 Nagar,2015,2016,Rahul,Father,789456134,abc11@xyz.com,Neha,Mother,741258974,,,Delhi
Learner,13,123456801,1990/01/13,Active,1994/01/13,Classroom 1 Nagar,2015,2016,Rahul,Father,789456135,12@xyz.com,Neha,Mother,741258975,,,Delhi
Learner,14,123456802,1990/01/14,Active,1994/01/14,Classroom 1 Nagar,2015,2016,Rahul,Father,789456136,13@xyz.com,Neha,Mother,741258976,,,Delhi
Learner,15,123456803,1990/01/15,Active,1994/01/15,Classroom 1 Nagar,2015,2016,Rahul,Father,789456137,14@xyz.com,Neha,Mother,741258977,,,Delhi
Learner,16,123456804,1990/01/16,Active,1994/01/16,Classroom 1 Nagar,2015,2016,Rahul,Father,789456138,15@xyz.com,Neha,Mother,741258978,,,Delhi
Learner,17,123456805,1990/01/17,Active,1994/01/17,Classroom 1 Nagar,2015,2016,Rahul,Father,789456139,16@xyz.com,Neha,Mother,741258979,,,Delhi
Learner,18,123456806,1990/01/18,Active,1994/01/18,Classroom 1 Nagar,2015,2016,Rahul,Father,789456140,17@xyz.com,Neha,Mother,741258980,,,Delhi
Learner,19,123456807,1990/01/19,Active,1994/01/19,Classroom 1 Nagar,2015,2016,Rahul,Father,789456141,185@xyz.com,Neha,Mother,741258981,,,Delhi
Learner,20,123456808,1990/01/20,Active,1994/01/20,Classroom 1 Nagar,2015,2016,Rahul,Father,789456142,19@xyz.com,Neha,Mother,741258982,,,Delhi
Learner,21,123456809,1990/01/21,Active,1994/01/21,Classroom 1 Nagar,2015,2016,Rahul,Father,789456143,20@xyz.com,Neha,Mother,741258983,,,Delhi
Learner,22,123456810,1990/01/22,Active,1994/01/22,Classroom 1 Nagar,2015,2016,Rahul,Father,789456144,21@xyz.com,Neha,Mother,741258984,,,Delhi
Learner,23,123456811,1990/01/23,Active,1994/01/23,Classroom 1 Nagar,2015,2016,Rahul,Father,789456145,22@xyz.com,Neha,Mother,741258985,,,Delhi
Learner,24,123456812,1990/01/24,Active,1994/01/24,Classroom 1 Nagar,2015,2016,Rahul,Father,789456146,23@xyz.com,Neha,Mother,741258986,,,Delhi
Learner,25,123456813,1990/01/25,Active,1994/01/25,Classroom 1 Nagar,2015,2016,Rahul,Father,789456147,24@xyz.com,Neha,Mother,741258987,,,Delhi
Learner,26,123456814,1990/01/26,Active,1994/01/26,Classroom 1 Nagar,2015,2016,Rahul,Father,789456148,25@xyz.com,Neha,Mother,741258988,,,Delhi
Learner,27,123456815,1990/01/27,Active,1994/01/27,Classroom 1 Nagar,2015,2016,Rahul,Father,789456149,26@xyz.com,Neha,Mother,741258989,,,Delhi
Learner,28,123456816,1990/01/28,Active,1994/01/28,Classroom 1 Nagar,2015,2016,Rahul,Father,789456150,27@xyz.com,Neha,Mother,741258990,,,Delhi
Learner,29,123456817,1990/01/29,Active,1994/01/29,Classroom 1 Nagar,2015,2016,Rahul,Father,789456151,28@xyz.com,Neha,Mother,741258991,,,Delhi
Learner,30,123456818,1990/01/30,Active,1994/01/30,Classroom 1 Nagar,2015,2016,Rahul,Father,789456152,29@xyz.com,Neha,Mother,741258992,,,Delhi
Learner,31,123456819,1990/01/31,Active,1994/02/01,Classroom 1 Nagar,2015,2016,Rahul,Father,789456153,30@xyz.com,Neha,Mother,741258993,,,Delhi
Learner,32,123456820,1990/02/01,Active,1994/02/02,Classroom 1 Nagar,2015,2016,Rahul,Father,789456154,31@xyz.com,Neha,Mother,741258994,,,Delhi
Learner,33,123456821,1990/02/02,Active,1994/02/03,Classroom 1 Nagar,2015,2016,Rahul,Father,789456155,32@xyz.com,Neha,Mother,741258995,,,Delhi
